T1,1,26,4,393,3,1,3,3

T2,2,66,4,282,3,1,5,2

T3,3,251,1,183,3,3,4,4

T4,4,87,2,343,2,4,2,2

T5,5,288,4,128,3,3,2,4

T6,6,217,3,383,3,3,2,1

T7,7,146,1,270,2,4,2,2

T8,8,283,1,170,0,3,2,2

T9,9,249,2,155,1,4,2,1

T10,10,258,1,234,0,3,1,4

T11,11,167,2,181,0,3,1,4

T12,12,258,1,389,3,1,2,1

T13,13,33,1,137,0,4,3,2

T14,14,57,3,238,1,1,3,2

T15,15,16,3,225,0,1,4,2

T16,16,274,2,356,1,3,3,2

T17,17,221,1,170,1,4,5,2

T18,18,158,3,294,3,4,5,4

T19,19,279,2,348,1,3,5,1

T20,20,246,2,253,0,4,2,4

T21,21,270,1,221,2,2,1,2

T22,22,133,1,181,0,2,3,4

T23,23,50,4,390,0,3,1,1

T24,24,52,3,194,2,4,1,4

T25,25,8,4,233,2,2,1,3

T26,26,177,1,171,2,4,5,4

T27,27,155,2,316,2,1,1,1

T28,28,68,1,231,1,4,4,4

T29,29,59,3,196,3,3,5,4

T30,30,145,3,345,0,1,5,1

T31,31,226,4,332,0,1,1,2

T32,32,98,2,107,2,3,3,2

T33,33,66,1,212,2,4,3,1

T34,34,274,4,272,3,3,5,4

T35,35,211,2,287,1,1,2,2

T36,36,120,4,229,2,2,5,1

T37,37,140,2,193,1,2,1,4

T38,38,185,1,271,1,1,4,4

T39,39,171,1,247,1,3,1,2

T40,40,293,4,168,3,2,5,4

T41,41,100,3,300,3,4,2,3

T42,42,242,1,308,1,4,5,3

T43,43,49,2,232,1,3,1,2

T44,44,70,4,167,3,3,2,3

T45,45,101,1,285,3,1,3,4

T46,46,116,4,336,2,2,3,1

T47,47,215,4,188,0,1,1,3

T48,48,103,3,173,2,1,4,1

T49,49,216,4,210,0,1,5,1

T50,50,85,1,347,0,3,2,4

T51,51,253,1,118,3,3,2,2

T52,52,7,2,264,1,4,5,2

T53,53,197,1,269,2,1,1,1

T54,54,143,1,356,2,4,4,4

T55,55,98,4,298,3,1,5,2

T56,56,79,4,324,1,1,3,3

T57,57,191,4,149,1,2,4,3

T58,58,253,4,397,3,3,4,1

T59,59,195,1,303,2,4,5,1

T60,60,62,4,317,1,4,2,1

T61,61,15,3,194,3,3,4,4

T62,62,106,4,158,0,3,1,4

T63,63,19,4,375,0,1,2,4

T64,64,39,3,306,0,4,2,2

T65,65,82,1,154,1,2,2,1

T66,66,262,3,296,2,1,1,3

T67,67,66,4,207,3,1,5,4

T68,68,3,3,290,1,2,1,1

T69,69,25,3,137,1,2,2,3

T70,70,235,2,320,0,1,1,2

T71,71,205,2,114,1,4,2,4

T72,72,264,4,101,1,2,2,1

T73,73,254,2,375,2,1,3,3

T74,74,149,2,279,0,2,1,4

T75,75,92,3,243,3,4,3,1

T76,76,173,1,387,3,1,2,1

T77,77,1,3,190,3,2,1,4

T78,78,266,3,323,2,3,4,3

T79,79,15,2,236,0,2,4,3

T80,80,232,4,375,1,3,4,3

T81,81,7,3,376,1,3,4,3

T82,82,40,4,205,0,2,3,3

T83,83,182,1,136,1,4,4,1

T84,84,282,3,380,3,1,4,1

T85,85,69,2,209,1,2,1,4

T86,86,68,2,234,0,4,1,4

T87,87,114,1,310,1,2,3,1

T88,88,222,2,145,1,4,2,1

T89,89,203,3,291,3,3,4,3

T90,90,159,2,162,1,4,1,2

T91,91,78,2,202,0,3,3,4

T92,92,53,2,126,3,2,3,1

T93,93,18,4,374,3,1,3,1

T94,94,252,2,252,3,3,4,1

T95,95,184,3,214,3,3,2,2

T96,96,221,1,297,1,2,4,1

T97,97,36,2,268,2,2,4,1

T98,98,185,4,277,3,3,4,2

T99,99,177,2,379,0,2,3,1

T100,100,210,1,295,2,3,4,3

T101,101,227,2,305,3,3,5,1

T102,102,163,3,383,2,2,2,1

T103,103,289,3,130,0,3,2,3

T104,104,271,1,270,1,2,5,2

T105,105,21,4,384,1,4,5,4

T106,106,36,4,400,0,3,2,4

T107,107,205,4,320,0,1,4,1

T108,108,180,2,396,0,4,4,3

T109,109,8,4,300,2,1,1,3

T110,110,178,2,294,1,1,3,3

T111,111,127,2,304,0,1,5,3

T112,112,144,2,142,3,1,3,3

T113,113,173,2,340,3,1,4,4

T114,114,84,3,239,0,1,5,3

T115,115,128,1,313,3,2,3,1

T116,116,244,4,245,3,3,2,3

T117,117,34,3,247,3,4,2,1

T118,118,99,2,367,2,3,5,4

T119,119,140,1,306,1,1,5,1

T120,120,255,1,262,0,1,2,1

T121,121,43,2,328,0,3,1,2

T122,122,167,3,394,3,3,2,2

T123,123,285,4,239,3,3,5,4

T124,124,290,2,228,3,1,1,3

T125,125,227,4,331,2,1,5,2

T126,126,243,1,159,0,2,4,2

T127,127,228,4,154,0,1,4,3

T128,128,127,4,155,3,1,2,1

T129,129,120,3,166,3,2,1,2

T130,130,299,3,328,1,1,5,2

T131,131,89,4,177,1,4,3,2

T132,132,132,4,333,2,2,1,4

T133,133,141,3,269,0,4,4,2

T134,134,75,2,331,3,1,1,1

T135,135,286,4,284,3,4,5,1

T136,136,213,3,210,0,3,1,3

T137,137,34,2,158,0,2,2,2

T138,138,275,2,399,3,4,5,2

T139,139,205,2,144,1,2,1,4

T140,140,238,1,299,0,1,4,2

T141,141,145,2,204,0,1,5,3

T142,142,22,4,335,1,2,4,3

T143,143,117,1,144,3,3,4,4

T144,144,75,4,231,0,4,1,1

T145,145,287,1,353,0,3,1,1

T146,146,279,3,369,0,4,1,2

T147,147,14,2,212,0,1,2,4

T148,148,221,4,111,1,2,1,4

T149,149,173,4,254,2,2,4,1

T150,150,181,3,173,1,1,2,2

T151,151,268,1,163,1,3,4,3

T152,152,162,3,243,3,2,1,1

T153,153,228,4,370,3,1,3,3

T154,154,93,4,138,1,4,1,3

T155,155,194,4,227,2,2,1,3

T156,156,250,3,240,1,1,4,1

T157,157,284,3,214,0,2,1,1

T158,158,87,2,331,3,3,5,1

T159,159,116,4,286,0,3,2,3

T160,160,121,2,331,1,1,1,1

T161,161,277,3,213,2,2,3,4

T162,162,108,3,210,0,4,2,3

T163,163,51,2,345,1,3,3,4

T164,164,50,3,237,3,4,3,1

T165,165,18,2,307,2,1,5,2

T166,166,114,4,192,3,3,1,3

T167,167,153,3,185,1,3,1,2

T168,168,86,2,375,1,3,3,2

T169,169,17,4,219,2,1,1,3

T170,170,164,2,234,1,3,2,2

T171,171,52,3,198,0,1,1,3

T172,172,72,4,248,0,3,1,2

T173,173,54,1,296,3,1,2,1

T174,174,221,2,279,2,4,4,3

T175,175,47,2,174,0,1,3,4

T176,176,192,3,186,0,3,3,3

T177,177,14,4,367,1,4,1,3

T178,178,151,4,318,1,2,1,1

T179,179,71,2,390,3,4,2,4

T180,180,184,3,180,1,1,2,2

T181,181,137,1,118,1,3,4,3

T182,182,136,4,373,2,3,4,3

T183,183,259,2,343,3,1,3,2

T184,184,276,1,398,1,2,2,3

T185,185,132,2,379,0,1,4,1

T186,186,174,4,367,3,1,5,1

T187,187,95,1,174,0,3,2,1

T188,188,271,1,241,3,4,3,1

T189,189,87,2,357,0,4,4,3

T190,190,175,2,148,2,4,5,4

T191,191,80,4,338,1,4,4,3

T192,192,252,4,323,3,1,2,2

T193,193,133,3,220,2,3,3,2

T194,194,274,4,183,2,4,5,1

T195,195,70,2,263,2,3,1,2

T196,196,161,1,210,3,4,5,3

T197,197,281,1,315,2,3,2,3

T198,198,241,2,322,0,4,1,4

T199,199,141,4,151,1,3,3,1

T200,200,4,4,215,0,1,1,4

T201,201,211,2,199,3,4,3,2

T202,202,68,3,297,1,1,3,4

T203,203,167,3,154,2,4,3,3

T204,204,21,4,170,3,4,3,2

T205,205,202,3,162,0,3,2,1

T206,206,64,3,214,3,2,1,3

T207,207,131,1,252,0,1,2,1

T208,208,142,1,275,1,1,1,1

T209,209,231,1,118,2,1,5,1

T210,210,160,3,359,1,2,2,2

T211,211,63,2,146,0,3,5,3

T212,212,149,3,382,1,1,1,3

T213,213,21,4,107,2,1,1,3

T214,214,133,3,161,0,4,4,2

T215,215,124,2,148,0,4,3,3

T216,216,171,1,391,0,4,2,4

T217,217,106,1,303,3,3,1,1

T218,218,107,3,182,1,1,1,3

T219,219,183,4,103,2,2,4,3

T220,220,177,4,338,3,4,1,3

T221,221,125,2,238,0,4,3,2

T222,222,258,1,312,0,3,2,3

T223,223,193,1,167,1,2,5,4

T224,224,86,4,271,1,4,5,2

T225,225,15,4,327,0,2,4,1

T226,226,126,4,353,3,4,3,3

T227,227,25,4,362,1,1,3,2

T228,228,135,4,245,0,3,2,2

T229,229,192,3,300,2,1,5,4

T230,230,144,4,220,3,1,5,4

T231,231,131,2,328,0,1,1,3

T232,232,55,3,386,0,4,2,3

T233,233,159,3,127,0,4,4,2

T234,234,296,2,180,3,2,2,1

T235,235,212,3,225,0,4,5,2

T236,236,297,3,112,0,3,3,3

T237,237,14,1,249,1,4,1,4

T238,238,35,3,317,3,3,5,4

T239,239,87,3,185,0,3,4,4

T240,240,25,1,205,2,2,4,2

T241,241,294,3,212,1,4,4,3

T242,242,152,2,214,2,1,1,3

T243,243,83,1,328,1,4,4,2

T244,244,214,3,221,1,2,1,1

T245,245,207,4,206,3,1,1,2

T246,246,276,2,142,3,1,3,3

T247,247,66,1,347,2,4,3,3

T248,248,274,1,267,1,4,3,3

T249,249,82,2,289,1,2,4,2

T250,250,32,2,206,3,3,3,2

T251,251,60,1,159,3,4,1,1

T252,252,190,3,350,3,4,3,4

T253,253,230,3,153,0,2,4,1

T254,254,89,3,391,0,2,5,4

T255,255,263,1,252,1,2,1,2

T256,256,156,2,180,0,1,2,3

T257,257,150,2,311,1,1,2,2

T258,258,231,4,116,2,4,2,3

T259,259,7,4,117,2,4,5,3

T260,260,228,3,212,0,2,4,4

T261,261,202,3,205,3,2,2,3

T262,262,299,2,148,0,4,4,3

T263,263,157,3,290,2,4,4,4

T264,264,142,2,238,1,3,4,3

T265,265,154,4,357,0,1,5,4

T266,266,214,3,214,2,3,2,4

T267,267,22,4,138,0,2,3,2

T268,268,55,4,155,0,4,5,4

T269,269,81,1,324,0,3,2,3

T270,270,154,2,137,1,1,5,2

T271,271,34,2,133,2,1,1,1

T272,272,225,1,330,1,1,5,4

T273,273,3,1,345,0,3,5,1

T274,274,93,3,214,1,1,1,1

T275,275,95,4,250,0,3,1,4

T276,276,60,1,217,3,2,5,1

T277,277,92,4,398,0,3,1,3

T278,278,157,4,357,1,4,1,1

T279,279,247,4,359,3,1,3,2

T280,280,104,1,259,0,3,3,2

T281,281,224,2,296,0,2,3,4

T282,282,96,4,109,1,4,3,3

T283,283,265,4,244,0,2,5,1

T284,284,247,2,103,3,1,3,3

T285,285,100,1,137,1,1,5,2

T286,286,184,1,357,1,4,5,1

T287,287,289,1,320,3,2,4,4

T288,288,191,1,151,3,4,2,1

T289,289,208,4,188,3,2,3,2

T290,290,165,4,322,0,2,5,3

T291,291,82,1,347,3,4,4,4

T292,292,221,4,375,1,3,2,2

T293,293,97,2,303,2,2,4,2

T294,294,173,3,389,0,3,2,1

T295,295,57,4,316,1,2,5,3

T296,296,152,3,129,0,3,2,2

T297,297,16,4,242,2,1,1,2

T298,298,176,4,162,1,4,4,3

T299,299,10,3,172,0,4,3,1

T300,300,131,3,276,2,4,2,3

T301,301,33,3,225,0,1,3,1

T302,302,67,1,274,0,3,2,4

T303,303,12,4,278,1,4,5,3

T304,304,157,1,309,0,2,1,1

T305,305,184,3,168,0,2,5,2

T306,306,121,2,341,3,4,1,3

T307,307,288,4,114,1,2,4,2

T308,308,200,1,240,3,1,4,1

T309,309,258,4,151,1,1,5,3

T310,310,278,2,118,3,3,2,1

T311,311,145,4,330,0,3,3,2

T312,312,49,2,234,3,3,2,4

T313,313,141,4,330,0,4,2,2

T314,314,10,1,260,1,2,3,1

T315,315,113,2,275,2,3,3,3

T316,316,36,2,356,1,3,3,4

T317,317,193,3,107,0,4,1,4

T318,318,33,4,147,3,1,1,3

T319,319,134,4,243,3,4,3,2

T320,320,287,1,124,0,2,3,1

T321,321,202,1,334,1,1,5,2

T322,322,170,3,183,0,1,4,2

T323,323,168,4,366,0,2,3,3

T324,324,64,1,130,1,4,2,2

T325,325,89,1,151,2,1,2,3

T326,326,23,4,119,2,4,3,4

T327,327,179,2,279,3,4,3,1

T328,328,295,4,163,1,1,1,4

T329,329,3,1,313,0,1,3,2

T330,330,99,3,203,0,3,2,2

T331,331,72,3,349,0,3,1,4

T332,332,278,2,194,0,4,2,3

T333,333,67,1,128,0,4,1,1

T334,334,214,3,100,1,1,4,4

